instance,casual,registered,count,season,year,month,holiday,weekday,workingday,weathertype,tempdenorm,acttempdenorm,humiditydenorm,windspeeddenorm
97,571,2570,3141,Summer,Year 2011,Apr,Not A Holiday,Thr,Working Day,Clear:Good,17.9375,21.6848,60.2917,10.874904
98,172,1299,1471,Summer,Year 2011,Apr,Not A Holiday,Fri,Working Day,Cloudy:Adequet,13.769153,16.22395,83.625,15.208464
99,879,1576,2455,Summer,Year 2011,Apr,Not A Holiday,Sat,Not A Working Day,Cloudy:Adequet,14.0425,17.07645,87.75,8.916561
100,1188,1707,2895,Summer,Year 2011,Apr,Not A Holiday,Sun,Not A Working Day,Cloudy:Adequet,17.493347,21.33685,85.75,9.833389
101,855,2493,3348,Summer,Year 2011,Apr,Not A Holiday,Mon,Working Day,Cloudy:Adequet,24.421732,28.26085,71.6956,21.739758
102,257,1777,2034,Summer,Year 2011,Apr,Not A Holiday,Tues,Working Day,Cloudy:Adequet,20.6025,24.6527,73.9167,18.416893
103,209,1953,2162,Summer,Year 2011,Apr,Not A Holiday,Wed,Working Day,Cloudy:Adequet,16.9125,20.86415,81.9167,16.791339
104,529,2738,3267,Summer,Year 2011,Apr,Not A Holiday,Thr,Working Day,Clear:Good,19.1675,23.1371,54.0417,7.4169
105,642,2484,3126,Summer,Year 2011,Apr,Holiday,Fri,Not A Working Day,Clear:Good,18.313347,22.09565,67.125,15.167125
106,121,674,795,Summer,Year 2011,Apr,Not A Holiday,Sat,Not A Working Day,LightRain:Bad,17.664153,21.2746,88.8333,22.834136
107,1558,2186,3744,Summer,Year 2011,Apr,Not A Holiday,Sun,Not A Working Day,Clear:Good,18.723347,22.2848,47.9583,20.334232
108,669,2760,3429,Summer,Year 2011,Apr,Not A Holiday,Mon,Working Day,Clear:Good,21.0125,25.1573,54.25,10.958989
109,409,2795,3204,Summer,Year 2011,Apr,Not A Holiday,Tues,Working Day,Cloudy:Adequet,20.739153,24.4629,66.5833,10.584057
110,613,3331,3944,Summer,Year 2011,Apr,Not A Holiday,Wed,Working Day,Clear:Good,24.395,28.2196,61.4167,16.208975
111,745,3444,4189,Summer,Year 2011,Apr,Not A Holiday,Thr,Working Day,Clear:Good,18.825847,22.6946,40.7083,21.792286
112,177,1506,1683,Summer,Year 2011,Apr,Not A Holiday,Fri,Working Day,Cloudy:Adequet,13.803347,16.0977,72.9583,14.707907
113,1462,2574,4036,Summer,Year 2011,Apr,Not A Holiday,Sat,Not A Working Day,Cloudy:Adequet,18.86,22.50605,88.7917,15.458575
114,1710,2481,4191,Summer,Year 2011,Apr,Not A Holiday,Sun,Not A Working Day,Cloudy:Adequet,23.848347,27.58815,81.0833,12.875725
115,773,3300,4073,Summer,Year 2011,Apr,Not A Holiday,Mon,Working Day,Clear:Good,24.873347,28.725,77.6667,12.417311
116,678,3722,4400,Summer,Year 2011,Apr,Not A Holiday,Tues,Working Day,Clear:Good,25.898347,29.70415,72.9167,21.8755
117,547,3325,3872,Summer,Year 2011,Apr,Not A Holiday,Wed,Working Day,Cloudy:Adequet,25.42,28.7571,83.5417,20.9174
118,569,3489,4058,Summer,Year 2011,Apr,Not A Holiday,Thr,Working Day,Cloudy:Adequet,25.3175,28.94645,70.0833,21.500836
119,878,3717,4595,Summer,Year 2011,Apr,Not A Holiday,Fri,Working Day,Clear:Good,20.91,24.87315,45.7083,16.084221
120,1965,3347,5312,Summer,Year 2011,Apr,Not A Holiday,Sat,Not A Working Day,Clear:Good,19.3725,23.20105,50.3333,15.750025
121,1138,2213,3351,Summer,Year 2011,May,Not A Holiday,Sun,Not A Working Day,Cloudy:Adequet,18.518347,22.4102,76.2083,7.125718
122,847,3554,4401,Summer,Year 2011,May,Not A Holiday,Mon,Working Day,Cloudy:Adequet,22.515847,26.64165,73,12.291418
123,603,3848,4451,Summer,Year 2011,May,Not A Holiday,Tues,Working Day,Cloudy:Adequet,25.283347,29.10395,69.7083,22.958689
124,255,2378,2633,Summer,Year 2011,May,Not A Holiday,Wed,Working Day,Cloudy:Adequet,16.980847,20.2325,73.7083,22.042732
125,614,3819,4433,Summer,Year 2011,May,Not A Holiday,Thr,Working Day,Clear:Good,18.825847,22.09585,44.4167,19.791264
126,894,3714,4608,Summer,Year 2011,May,Not A Holiday,Fri,Working Day,Clear:Good,19.645847,23.70585,59,15.292482
127,1612,3102,4714,Summer,Year 2011,May,Not A Holiday,Sat,Not A Working Day,Clear:Good,21.32,25.63105,54.125,10.75015
128,1401,2932,4333,Summer,Year 2011,May,Not A Holiday,Sun,Not A Working Day,Clear:Good,21.661653,25.94665,63.1667,5.0007125
129,664,3698,4362,Summer,Year 2011,May,Not A Holiday,Mon,Working Day,Clear:Good,21.8325,26.2623,58.875,11.792
130,694,4109,4803,Summer,Year 2011,May,Not A Holiday,Tues,Working Day,Clear:Good,21.8325,26.13605,48.9167,7.749957
131,550,3632,4182,Summer,Year 2011,May,Not A Holiday,Wed,Working Day,Clear:Good,22.2425,26.42,63.2917,8.083014
132,695,4169,4864,Summer,Year 2011,May,Not A Holiday,Thr,Working Day,Clear:Good,21.935,26.16815,74.75,12.707689
133,692,3413,4105,Summer,Year 2011,May,Not A Holiday,Fri,Working Day,Cloudy:Adequet,21.0125,24.715,86.3333,12.041575
134,902,2507,3409,Summer,Year 2011,May,Not A Holiday,Sat,Not A Working Day,Cloudy:Adequet,21.354153,25.03145,92.25,9.04165
135,1582,2971,4553,Summer,Year 2011,May,Not A Holiday,Sun,Not A Working Day,Cloudy:Adequet,23.0625,26.8,86.7083,10.249593
136,773,3185,3958,Summer,Year 2011,May,Not A Holiday,Mon,Working Day,Clear:Good,23.6775,27.5256,78.7917,8.500357
137,678,3445,4123,Summer,Year 2011,May,Not A Holiday,Tues,Working Day,Cloudy:Adequet,23.028347,26.92645,83.7917,18.582718
138,536,3319,3855,Summer,Year 2011,May,Not A Holiday,Wed,Working Day,Cloudy:Adequet,22.55,26.3579,87,13.499964
139,735,3840,4575,Summer,Year 2011,May,Not A Holiday,Thr,Working Day,Cloudy:Adequet,21.764153,25.5371,82.9583,7.250271
140,909,4008,4917,Summer,Year 2011,May,Not A Holiday,Fri,Working Day,Clear:Good,22.003347,26.4521,71.9583,8.375871
141,2258,3547,5805,Summer,Year 2011,May,Not A Holiday,Sat,Not A Working Day,Clear:Good,24.7025,28.59875,62.6667,8.08355
142,1576,3084,4660,Summer,Year 2011,May,Not A Holiday,Sun,Not A Working Day,Clear:Good,24.770847,28.725,74.9583,9.916536
143,836,3438,4274,Summer,Year 2011,May,Not A Holiday,Mon,Working Day,Cloudy:Adequet,25.898347,29.5148,81,15.667414
144,659,3833,4492,Summer,Year 2011,May,Not A Holiday,Tues,Working Day,Cloudy:Adequet,27.06,30.24065,74.0833,13.875164
145,740,4238,4978,Summer,Year 2011,May,Not A Holiday,Wed,Working Day,Clear:Good,27.094153,30.7771,69.625,10.333611
146,758,3919,4677,Summer,Year 2011,May,Not A Holiday,Thr,Working Day,Clear:Good,29.041653,32.7344,67.75,13.376014
147,871,3808,4679,Summer,Year 2011,May,Not A Holiday,Fri,Working Day,Clear:Good,27.948347,31.8504,65.375,16.125493
148,2001,2757,4758,Summer,Year 2011,May,Not A Holiday,Sat,Not A Working Day,Clear:Good,26.889153,30.61895,72.9583,15.416164
149,2355,2433,4788,Summer,Year 2011,May,Not A Holiday,Sun,Not A Working Day,Clear:Good,27.3675,30.7775,81.875,14.333846
150,1549,2549,4098,Summer,Year 2011,May,Holiday,Mon,Not A Working Day,Clear:Good,30.066653,33.5546,68.5,8.792075
151,673,3309,3982,Summer,Year 2011,May,Not A Holiday,Tues,Working Day,Clear:Good,31.775,36.26915,63.6667,7.459043
152,513,3461,3974,Summer,Year 2011,June,Not A Holiday,Wed,Working Day,Cloudy:Adequet,31.330847,36.04835,67.7083,13.875164
153,736,4232,4968,Summer,Year 2011,June,Not A Holiday,Thr,Working Day,Clear:Good,29.315,32.1971,30.5,19.583229
154,898,4414,5312,Summer,Year 2011,June,Not A Holiday,Fri,Working Day,Clear:Good,25.42,29.35665,35.4167,16.959107
155,1869,3473,5342,Summer,Year 2011,June,Not A Holiday,Sat,Not A Working Day,Clear:Good,26.035,29.7348,45.625,8.250514
156,1685,3221,4906,Summer,Year 2011,June,Not A Holiday,Sun,Not A Working Day,Cloudy:Adequet,26.581653,30.8402,65.25,9.292364
157,673,3875,4548,Summer,Year 2011,June,Not A Holiday,Mon,Working Day,Clear:Good,27.811653,31.0929,60,8.167032
158,763,4070,4833,Summer,Year 2011,June,Not A Holiday,Tues,Working Day,Clear:Good,29.0075,32.7975,59.7917,12.583136
159,676,3725,4401,Summer,Year 2011,June,Not A Holiday,Wed,Working Day,Clear:Good,31.809153,36.36395,62.2083,9.166739
160,563,3352,3915,Summer,Year 2011,June,Not A Holiday,Thr,Working Day,Cloudy:Adequet,33.141653,37.87895,56.8333,10.042161
161,815,3771,4586,Summer,Year 2011,June,Not A Holiday,Fri,Working Day,Clear:Good,30.955,35.1646,60.5,9.417118
162,1729,3237,4966,Summer,Year 2011,June,Not A Holiday,Sat,Not A Working Day,Clear:Good,29.725,33.9019,65.4583,10.37495
163,1467,2993,4460,Summer,Year 2011,June,Not A Holiday,Sun,Not A Working Day,Clear:Good,28.3925,32.16625,74.7917,10.958989
164,863,4157,5020,Summer,Year 2011,June,Not A Holiday,Mon,Working Day,Clear:Good,26.035,30.0827,49.4583,20.45845
165,727,4164,4891,Summer,Year 2011,June,Not A Holiday,Tues,Working Day,Clear:Good,24.770847,29.5773,50.7083,18.041961
166,769,4411,5180,Summer,Year 2011,June,Not A Holiday,Wed,Working Day,Clear:Good,25.693347,29.3877,47.1667,11.250104
167,545,3222,3767,Summer,Year 2011,June,Not A Holiday,Thr,Working Day,Cloudy:Adequet,25.761653,29.7673,68.8333,13.833557
168,863,3981,4844,Summer,Year 2011,June,Not A Holiday,Fri,Working Day,Clear:Good,26.615847,30.01915,73.5833,9.582943
169,1807,3312,5119,Summer,Year 2011,June,Not A Holiday,Sat,Not A Working Day,Clear:Good,28.563347,32.1977,67.0417,8.000336
170,1639,3105,4744,Summer,Year 2011,June,Not A Holiday,Sun,Not A Working Day,Cloudy:Adequet,28.665847,32.2923,66.6667,6.834
171,699,3311,4010,Summer,Year 2011,June,Not A Holiday,Mon,Working Day,Cloudy:Adequet,26.035,29.7673,74.625,10.416825
172,774,4061,4835,Fall,Year 2011,June,Not A Holiday,Tues,Working Day,Cloudy:Adequet,27.914153,31.8823,77.0417,11.458675
173,661,3846,4507,Fall,Year 2011,June,Not A Holiday,Wed,Working Day,Clear:Good,30.066653,34.69145,70.75,11.541554
174,746,4044,4790,Fall,Year 2011,June,Not A Holiday,Thr,Working Day,Cloudy:Adequet,29.861653,34.69165,70.3333,15.999868
175,969,4022,4991,Fall,Year 2011,June,Not A Holiday,Fri,Working Day,Clear:Good,29.690847,32.82915,57.3333,14.875675
176,1782,3420,5202,Fall,Year 2011,June,Not A Holiday,Sat,Not A Working Day,Clear:Good,28.495,32.16565,48.3333,14.041257
177,1920,3385,5305,Fall,Year 2011,June,Not A Holiday,Sun,Not A Working Day,Clear:Good,27.88,31.88145,51.3333,6.3337311
178,854,3854,4708,Fall,Year 2011,June,Not A Holiday,Mon,Working Day,Cloudy:Adequet,27.9825,31.8502,65.8333,7.208396
179,732,3916,4648,Fall,Year 2011,June,Not A Holiday,Tues,Working Day,Clear:Good,30.510847,34.6279,63.4167,9.666961
180,848,4377,5225,Fall,Year 2011,June,Not A Holiday,Wed,Working Day,Clear:Good,29.861653,32.7344,49.7917,17.542007
181,1027,4488,5515,Fall,Year 2011,June,Not A Holiday,Thr,Working Day,Clear:Good,28.563347,31.8504,43.4167,12.415904
182,1246,4116,5362,Fall,Year 2011,Jul,Not A Holiday,Fri,Working Day,Clear:Good,29.6225,32.6081,39.625,6.874736
183,2204,2915,5119,Fall,Year 2011,Jul,Not A Holiday,Sat,Not A Working Day,Clear:Good,30.271653,33.3654,44.4583,7.709154
184,2282,2367,4649,Fall,Year 2011,Jul,Not A Holiday,Sun,Not A Working Day,Cloudy:Adequet,29.383347,33.42875,68.25,15.333486
185,3065,2978,6043,Fall,Year 2011,Jul,Holiday,Mon,Not A Working Day,Cloudy:Adequet,29.793347,33.27085,63.7917,5.4591064
186,1031,3634,4665,Fall,Year 2011,Jul,Not A Holiday,Tues,Working Day,Clear:Good,30.613347,34.8169,59.0417,8.459286
187,784,3845,4629,Fall,Year 2011,Jul,Not A Holiday,Wed,Working Day,Clear:Good,29.52,34.28165,74.3333,10.042161
188,754,3838,4592,Fall,Year 2011,Jul,Not A Holiday,Thr,Working Day,Clear:Good,30.75,34.34355,65.125,10.6664
189,692,3348,4040,Fall,Year 2011,Jul,Not A Holiday,Fri,Working Day,Cloudy:Adequet,29.075847,33.52415,75.7917,15.083643
190,1988,3348,5336,Fall,Year 2011,Jul,Not A Holiday,Sat,Not A Working Day,Clear:Good,30.066653,33.2079,60.9167,11.250104
191,1743,3138,4881,Fall,Year 2011,Jul,Not A Holiday,Sun,Not A Working Day,Clear:Good,30.6475,34.50125,57.8333,12.292557
192,723,3363,4086,Fall,Year 2011,Jul,Not A Holiday,Mon,Working Day,Clear:Good,31.2625,36.4902,63.5833,18.916579
193,662,3596,4258,Fall,Year 2011,Jul,Not A Holiday,Tues,Working Day,Clear:Good,32.560847,36.96375,55.9167,13.417018
194,748,3594,4342,Fall,Year 2011,Jul,Not A Holiday,Wed,Working Day,Clear:Good,30.613347,34.4702,63.1667,9.790911
195,888,4196,5084,Fall,Year 2011,Jul,Not A Holiday,Thr,Working Day,Clear:Good,27.914153,31.7552,47.625,16.124689
196,1318,4220,5538,Fall,Year 2011,Jul,Not A Holiday,Fri,Working Day,Clear:Good,27.196653,31.21855,59.125,12.249811
197,2418,3505,5923,Fall,Year 2011,Jul,Not A Holiday,Sat,Not A Working Day,Clear:Good,28.153347,31.91315,58.5,13.958914
198,2006,3296,5302,Fall,Year 2011,Jul,Not A Holiday,Sun,Not A Working Day,Clear:Good,29.485847,33.49165,60.4167,16.417211
199,841,3617,4458,Fall,Year 2011,Jul,Not A Holiday,Mon,Working Day,Clear:Good,30.613347,35.19625,65.125,14.458868
200,752,3789,4541,Fall,Year 2011,Jul,Not A Holiday,Tues,Working Day,Clear:Good,31.843347,37.37395,65.0417,8.7502
